InvoiceNo,CustomerID,InvoiceDate,ProductName,Category,Quantity,UnitPrice,TotalSpend
INV100026,10806.0,2023-01-03 02:29:09,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100027,10386.0,2023-01-03 04:25:39,Denim Jacket,Apparel,4,74.99,299.96
INV100028,10192.0,2023-01-03 06:22:09,Wireless Earbuds,Electronics,4,59.99,239.96
INV100029,10277.0,2023-01-03 08:18:40,Denim Jacket,Apparel,2,74.99,149.98
INV100030,10161.0,2023-01-03 10:15:10,Running Shoes,Footwear,2,89.99,179.98
INV100031,10460.0,2023-01-03 12:11:40,Yoga Mat,Fitness,2,24.99,49.98
INV100032,10314.0,2023-01-03 14:08:11,Leather Wallet,Accessories,5,29.99,149.95
INV100033,10022.0,2023-01-03 16:04:41,Denim Jacket,Apparel,3,74.99,224.96999999999997
INV100034,10253.0,2023-01-03 18:01:12,Smart Watch,Electronics,1,129.99,129.99
INV100035,10748.0,2023-01-03 19:57:42,Yoga Mat,Fitness,3,24.99,74.97
INV100036,10857.0,2023-01-03 21:54:12,Yoga Mat,Fitness,1,24.99,24.99
INV100037,10561.0,2023-01-03 23:50:43,Denim Jacket,Apparel,1,74.99,74.99
INV100038,10475.0,2023-01-04 01:47:13,Yoga Mat,Fitness,1,24.99,24.99
INV100039,10059.0,2023-01-04 03:43:43,Bluetooth Speaker,Electronics,2,45.0,90.0
INV100040,10511.0,2023-01-04 05:40:14,Denim Jacket,Apparel,4,74.99,299.96
INV100041,10682.0,2023-01-04 07:36:44,Wireless Earbuds,Electronics,1,59.99,59.99
INV100042,10476.0,2023-01-04 09:33:14,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100043,10700.0,2023-01-04 11:29:45,Running Shoes,Footwear,1,89.99,89.99
INV100044,10783.0,2023-01-04 13:26:15,Backpack,Accessories,2,49.99,99.98
INV100045,10190.0,2023-01-04 15:22:45,Sunglasses,Accessories,1,35.0,35.0
INV100046,10687.0,2023-01-04 17:19:16,Yoga Mat,Fitness,1,24.99,24.99
INV100047,10563.0,2023-01-04 19:15:46,Wireless Earbuds,Electronics,1,59.99,59.99
INV100048,10876.0,2023-01-04 21:12:16,Leather Wallet,Accessories,1,29.99,29.99
INV100049,10567.0,2023-01-04 23:08:47,Leather Wallet,Accessories,1,29.99,29.99
INV100050,10244.0,2023-01-05 01:05:17,Sunglasses,Accessories,2,35.0,70.0
INV100051,10832.0,2023-01-05 03:01:48,Running Shoes,Footwear,1,89.99,89.99
INV100052,10505.0,2023-01-05 04:58:18,Yoga Mat,Fitness,2,24.99,49.98
INV100053,10131.0,2023-01-05 06:54:48,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100054,10485.0,2023-01-05 08:51:19,Sunglasses,Accessories,1,35.0,35.0
INV100055,10819.0,2023-01-05 10:47:49,Running Shoes,Footwear,1,89.99,89.99
INV100056,10647.0,2023-01-05 12:44:19,Yoga Mat,Fitness,2,24.99,49.98
INV100057,10021.0,2023-01-05 14:40:50,Wireless Earbuds,Electronics,5,59.99,299.95
INV100058,10841.0,2023-01-05 16:37:20,Stainless Steel Bottle,Fitness,4,19.99,79.96
INV100059,10167.0,2023-01-05 18:33:50,Bluetooth Speaker,Electronics,2,45.0,90.0
INV100060,10274.0,2023-01-05 20:30:21,Backpack,Accessories,1,49.99,49.99
INV100061,10388.0,2023-01-05 22:26:51,Leather Wallet,Accessories,3,29.99,89.97
INV100062,10601.0,2023-01-06 00:23:21,Smart Watch,Electronics,2,129.99,259.98
INV100063,10316.0,2023-01-06 02:19:52,Wireless Earbuds,Electronics,1,59.99,59.99
INV100064,10014.0,2023-01-06 04:16:22,Leather Wallet,Accessories,3,29.99,89.97
INV100065,10242.0,2023-01-06 06:12:52,Denim Jacket,Apparel,1,74.99,74.99
INV100066,10777.0,2023-01-06 08:09:23,Smart Watch,Electronics,1,129.99,129.99
INV100067,10346.0,2023-01-06 10:05:53,Leather Wallet,Accessories,1,29.99,29.99
INV100068,10565.0,2023-01-06 12:02:24,Running Shoes,Footwear,1,89.99,89.99
INV100069,10898.0,2023-01-06 13:58:54,Bluetooth Speaker,Electronics,2,45.0,90.0
INV100070,10340.0,2023-01-06 15:55:24,Leather Wallet,Accessories,1,29.99,29.99
INV100071,10092.0,2023-01-06 17:51:55,Backpack,Accessories,1,49.99,49.99
INV100072,10367.0,2023-01-06 19:48:25,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100073,10455.0,2023-01-06 21:44:55,Running Shoes,Footwear,2,89.99,179.98
INV100074,10428.0,2023-01-06 23:41:26,Wireless Earbuds,Electronics,2,59.99,119.98
INV100075,10509.0,2023-01-07 01:37:56,Wireless Earbuds,Electronics,1,59.99,59.99
INV100076,10776.0,2023-01-07 03:34:26,Wireless Earbuds,Electronics,1,59.99,59.99
INV100077,10943.0,2023-01-07 05:30:57,Wireless Earbuds,Electronics,1,59.99,59.99
INV100078,10035.0,2023-01-07 07:27:27,Stainless Steel Bottle,Fitness,4,19.99,79.96
INV100079,10206.0,2023-01-07 09:23:57,Leather Wallet,Accessories,1,29.99,29.99
INV100080,10081.0,2023-01-07 11:20:28,Yoga Mat,Fitness,1,24.99,24.99
INV100081,10932.0,2023-01-07 13:16:58,Leather Wallet,Accessories,1,29.99,29.99
INV100082,10562.0,2023-01-07 15:13:28,Denim Jacket,Apparel,2,74.99,149.98
INV100083,10872.0,2023-01-07 17:09:59,Bluetooth Speaker,Electronics,2,45.0,90.0
INV100084,10388.0,2023-01-07 19:06:29,Smart Watch,Electronics,1,129.99,129.99
INV100085,10002.0,2023-01-07 21:03:00,Yoga Mat,Fitness,1,24.99,24.99
INV100086,10390.0,2023-01-07 22:59:30,Yoga Mat,Fitness,1,24.99,24.99
INV100087,10566.0,2023-01-08 00:56:00,Leather Wallet,Accessories,3,29.99,89.97
INV100088,10106.0,2023-01-08 02:52:31,Yoga Mat,Fitness,3,24.99,74.97
INV100089,10772.0,2023-01-08 04:49:01,Sunglasses,Accessories,2,35.0,70.0
INV100090,10822.0,2023-01-08 06:45:31,Sunglasses,Accessories,2,35.0,70.0
INV100091,10477.0,2023-01-08 08:42:02,Denim Jacket,Apparel,1,74.99,74.99
INV100092,10703.0,2023-01-08 10:38:32,Smart Watch,Electronics,2,129.99,259.98
INV100093,10402.0,2023-01-08 12:35:02,Backpack,Accessories,2,49.99,99.98
INV100094,10730.0,2023-01-08 14:31:33,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100095,10556.0,2023-01-08 16:28:03,Leather Wallet,Accessories,4,29.99,119.96
INV100096,10162.0,2023-01-08 18:24:33,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100097,10202.0,2023-01-08 20:21:04,Backpack,Accessories,1,49.99,49.99
INV100098,10270.0,2023-01-08 22:17:34,Leather Wallet,Accessories,2,29.99,59.98
INV100099,10863.0,2023-01-09 00:14:04,Leather Wallet,Accessories,2,29.99,59.98
INV100100,10816.0,2023-01-09 02:10:35,Smart Watch,Electronics,2,129.99,259.98
INV100101,10271.0,2023-01-09 04:07:05,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100102,10456.0,2023-01-09 06:03:36,Sunglasses,Accessories,3,35.0,105.0
INV100103,10462.0,2023-01-09 08:00:06,Wireless Earbuds,Electronics,2,59.99,119.98
INV100104,10727.0,2023-01-09 09:56:36,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100105,10252.0,2023-01-09 11:53:07,Bluetooth Speaker,Electronics,8,45.0,360.0
INV100106,10702.0,2023-01-09 13:49:37,Bluetooth Speaker,Electronics,2,45.0,90.0
INV100107,10296.0,2023-01-09 15:46:07,Leather Wallet,Accessories,1,29.99,29.99
INV100108,10725.0,2023-01-09 17:42:38,Wireless Earbuds,Electronics,3,59.99,179.97
INV100109,10720.0,2023-01-09 19:39:08,Running Shoes,Footwear,1,89.99,89.99
INV100110,10749.0,2023-01-09 21:35:38,Backpack,Accessories,1,49.99,49.99
INV100111,10338.0,2023-01-09 23:32:09,Denim Jacket,Apparel,1,74.99,74.99
INV100112,10879.0,2023-01-10 01:28:39,Wireless Earbuds,Electronics,10,59.99,599.9
INV100113,10053.0,2023-01-10 03:25:09,Denim Jacket,Apparel,1,74.99,74.99
INV100114,10792.0,2023-01-10 05:21:40,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100115,10922.0,2023-01-10 07:18:10,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100116,10217.0,2023-01-10 09:14:40,Denim Jacket,Apparel,2,74.99,149.98
INV100117,10764.0,2023-01-10 11:11:11,Backpack,Accessories,2,49.99,99.98
INV100118,10188.0,2023-01-10 13:07:41,Wireless Earbuds,Electronics,2,59.99,119.98
INV100119,10380.0,2023-01-10 15:04:12,Running Shoes,Footwear,1,89.99,89.99
INV100120,10493.0,2023-01-10 17:00:42,Leather Wallet,Accessories,2,29.99,59.98
INV100121,10041.0,2023-01-10 18:57:12,Smart Watch,Electronics,10,129.99,1299.9
INV100122,10157.0,2023-01-10 20:53:43,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100123,10015.0,2023-01-10 22:50:13,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100124,10813.0,2023-01-11 00:46:43,Backpack,Accessories,4,49.99,199.96
INV100125,10065.0,2023-01-11 02:43:14,Smart Watch,Electronics,1,129.99,129.99
INV100126,10857.0,2023-01-11 04:39:44,Running Shoes,Footwear,2,89.99,179.98
INV100127,10839.0,2023-01-11 06:36:14,Yoga Mat,Fitness,4,24.99,99.96
INV100128,10521.0,2023-01-11 08:32:45,Leather Wallet,Accessories,1,29.99,29.99
INV100129,10344.0,2023-01-11 10:29:15,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100130,10129.0,2023-01-11 12:25:45,Leather Wallet,Accessories,1,29.99,29.99
INV100131,10648.0,2023-01-11 14:22:16,Smart Watch,Electronics,2,129.99,259.98
INV100132,10472.0,2023-01-11 16:18:46,Leather Wallet,Accessories,2,29.99,59.98
INV100133,10063.0,2023-01-11 18:15:17,Yoga Mat,Fitness,1,24.99,24.99
INV100134,10139.0,2023-01-11 20:11:47,Smart Watch,Electronics,1,129.99,129.99
INV100135,10499.0,2023-01-11 22:08:17,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100136,10593.0,2023-01-12 00:04:48,Wireless Earbuds,Electronics,1,59.99,59.99
INV100137,10392.0,2023-01-12 02:01:18,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100138,10675.0,2023-01-12 03:57:48,Smart Watch,Electronics,4,129.99,519.96
INV100139,10419.0,2023-01-12 05:54:19,Sunglasses,Accessories,1,35.0,35.0
INV100140,10289.0,2023-01-12 07:50:49,Yoga Mat,Fitness,4,24.99,99.96
INV100141,10379.0,2023-01-12 09:47:19,Smart Watch,Electronics,2,129.99,259.98
INV100142,10773.0,2023-01-12 11:43:50,Smart Watch,Electronics,1,129.99,129.99
INV100143,10490.0,2023-01-12 13:40:20,Sunglasses,Accessories,2,35.0,70.0
INV100144,10231.0,2023-01-12 15:36:50,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100145,10041.0,2023-01-12 17:33:21,Smart Watch,Electronics,1,129.99,129.99
INV100146,10028.0,2023-01-12 19:29:51,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100147,10135.0,2023-01-12 21:26:21,Leather Wallet,Accessories,1,29.99,29.99
INV100148,10201.0,2023-01-12 23:22:52,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100149,10840.0,2023-01-13 01:19:22,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100150,10780.0,2023-01-13 03:15:53,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100151,10930.0,2023-01-13 05:12:23,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100152,10033.0,2023-01-13 07:08:53,Yoga Mat,Fitness,1,24.99,24.99
INV100153,10048.0,2023-01-13 09:05:24,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100154,10503.0,2023-01-13 11:01:54,Denim Jacket,Apparel,1,74.99,74.99
INV100155,10407.0,2023-01-13 12:58:24,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100156,10574.0,2023-01-13 14:54:55,Wireless Earbuds,Electronics,10,59.99,599.9
INV100157,10728.0,2023-01-13 16:51:25,Wireless Earbuds,Electronics,1,59.99,59.99
INV100158,10805.0,2023-01-13 18:47:55,Backpack,Accessories,2,49.99,99.98
INV100159,10099.0,2023-01-13 20:44:26,Denim Jacket,Apparel,1,74.99,74.99
INV100160,10684.0,2023-01-13 22:40:56,Denim Jacket,Apparel,4,74.99,299.96
INV100161,10872.0,2023-01-14 00:37:26,Leather Wallet,Accessories,1,29.99,29.99
INV100162,10726.0,2023-01-14 02:33:57,Denim Jacket,Apparel,5,74.99,374.95
INV100163,10547.0,2023-01-14 04:30:27,Leather Wallet,Accessories,2,29.99,59.98
INV100164,10739.0,2023-01-14 06:26:57,Backpack,Accessories,1,49.99,49.99
INV100165,10613.0,2023-01-14 08:23:28,Backpack,Accessories,4,49.99,199.96
INV100166,10943.0,2023-01-14 10:19:58,Yoga Mat,Fitness,2,24.99,49.98
INV100167,10462.0,2023-01-14 12:16:29,Wireless Earbuds,Electronics,1,59.99,59.99
INV100168,10643.0,2023-01-14 14:12:59,Bluetooth Speaker,Electronics,3,45.0,135.0
INV100169,10769.0,2023-01-14 16:09:29,Bluetooth Speaker,Electronics,4,45.0,180.0
INV100170,10005.0,2023-01-14 18:06:00,Sunglasses,Accessories,1,35.0,35.0
INV100171,10218.0,2023-01-14 20:02:30,Sunglasses,Accessories,1,35.0,35.0
INV100172,10503.0,2023-01-14 21:59:00,Running Shoes,Footwear,3,89.99,269.96999999999997
INV100173,10767.0,2023-01-14 23:55:31,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100174,10398.0,2023-01-15 01:52:01,Yoga Mat,Fitness,4,24.99,99.96
INV100175,10871.0,2023-01-15 03:48:31,Running Shoes,Footwear,2,89.99,179.98
INV100176,10795.0,2023-01-15 05:45:02,Running Shoes,Footwear,1,89.99,89.99
INV100177,10393.0,2023-01-15 07:41:32,Smart Watch,Electronics,4,129.99,519.96
INV100178,10207.0,2023-01-15 09:38:02,Smart Watch,Electronics,1,129.99,129.99
INV100179,10015.0,2023-01-15 11:34:33,Running Shoes,Footwear,1,89.99,89.99
INV100180,10858.0,2023-01-15 13:31:03,Denim Jacket,Apparel,2,74.99,149.98
INV100181,10554.0,2023-01-15 15:27:33,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100182,10892.0,2023-01-15 17:24:04,Yoga Mat,Fitness,1,24.99,24.99
INV100183,10461.0,2023-01-15 19:20:34,Running Shoes,Footwear,3,89.99,269.96999999999997
INV100184,10691.0,2023-01-15 21:17:05,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100185,10575.0,2023-01-15 23:13:35,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100186,,2023-01-16 01:10:05,Smart Watch,Electronics,3,129.99,389.97
INV100187,10743.0,2023-01-16 03:06:36,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100188,10241.0,2023-01-16 05:03:06,Smart Watch,Electronics,1,129.99,129.99
INV100189,10564.0,2023-01-16 06:59:36,Smart Watch,Electronics,1,129.99,129.99
INV100190,10096.0,2023-01-16 08:56:07,Stainless Steel Bottle,Fitness,5,19.99,99.94999999999999
INV100191,10900.0,2023-01-16 10:52:37,Smart Watch,Electronics,1,129.99,129.99
INV100192,10734.0,2023-01-16 12:49:07,Backpack,Accessories,1,49.99,49.99
INV100193,10485.0,2023-01-16 14:45:38,Wireless Earbuds,Electronics,2,59.99,119.98
INV100194,10407.0,2023-01-16 16:42:08,Backpack,Accessories,1,49.99,49.99
INV100195,10231.0,2023-01-16 18:38:38,Wireless Earbuds,Electronics,1,59.99,59.99
INV100196,10749.0,2023-01-16 20:35:09,Sunglasses,Accessories,2,35.0,70.0
INV100197,10655.0,2023-01-16 22:31:39,Sunglasses,Accessories,1,35.0,35.0
INV100198,10171.0,2023-01-17 00:28:09,Smart Watch,Electronics,5,129.99,649.95
INV100199,10541.0,2023-01-17 02:24:40,Yoga Mat,Fitness,1,24.99,24.99
INV100200,10036.0,2023-01-17 04:21:10,Yoga Mat,Fitness,1,24.99,24.99
INV100201,10525.0,2023-01-17 06:17:41,Wireless Earbuds,Electronics,1,59.99,59.99
INV100202,10160.0,2023-01-17 08:14:11,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100203,10839.0,2023-01-17 10:10:41,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100204,10699.0,2023-01-17 12:07:12,Smart Watch,Electronics,1,129.99,129.99
INV100205,10243.0,2023-01-17 14:03:42,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100206,10086.0,2023-01-17 16:00:12,Backpack,Accessories,2,49.99,99.98
INV100207,10796.0,2023-01-17 17:56:43,Yoga Mat,Fitness,2,24.99,49.98
INV100208,10578.0,2023-01-17 19:53:13,Denim Jacket,Apparel,1,74.99,74.99
INV100209,10682.0,2023-01-17 21:49:43,Backpack,Accessories,1,49.99,49.99
INV100210,10557.0,2023-01-17 23:46:14,Backpack,Accessories,1,49.99,49.99
INV100211,10574.0,2023-01-18 01:42:44,Wireless Earbuds,Electronics,1,59.99,59.99
INV100212,10646.0,2023-01-18 03:39:14,Leather Wallet,Accessories,1,29.99,29.99
INV100213,10796.0,2023-01-18 05:35:45,Backpack,Accessories,2,49.99,99.98
INV100214,10028.0,2023-01-18 07:32:15,Smart Watch,Electronics,4,129.99,519.96
INV100215,10620.0,2023-01-18 09:28:45,Running Shoes,Footwear,1,89.99,89.99
INV100216,10556.0,2023-01-18 11:25:16,Running Shoes,Footwear,1,89.99,89.99
INV100217,10340.0,2023-01-18 13:21:46,Smart Watch,Electronics,1,129.99,129.99
INV100218,10798.0,2023-01-18 15:18:17,Leather Wallet,Accessories,1,29.99,29.99
INV100219,10331.0,2023-01-18 17:14:47,Leather Wallet,Accessories,1,29.99,29.99
INV100220,10640.0,2023-01-18 19:11:17,Wireless Earbuds,Electronics,4,59.99,239.96
INV100221,10506.0,2023-01-18 21:07:48,Yoga Mat,Fitness,2,24.99,49.98
INV100222,10348.0,2023-01-18 23:04:18,Stainless Steel Bottle,Fitness,10,19.99,199.89999999999998
INV100223,10473.0,2023-01-19 01:00:48,Leather Wallet,Accessories,4,29.99,119.96
INV100224,10231.0,2023-01-19 02:57:19,Denim Jacket,Apparel,1,74.99,74.99
INV100225,10190.0,2023-01-19 04:53:49,Wireless Earbuds,Electronics,2,59.99,119.98
INV100226,10225.0,2023-01-19 06:50:19,Sunglasses,Accessories,1,35.0,35.0
INV100227,10385.0,2023-01-19 08:46:50,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100228,10377.0,2023-01-19 10:43:20,Sunglasses,Accessories,4,35.0,140.0
INV100229,10283.0,2023-01-19 12:39:50,Wireless Earbuds,Electronics,1,59.99,59.99
INV100230,10633.0,2023-01-19 14:36:21,Backpack,Accessories,3,49.99,149.97
INV100231,10628.0,2023-01-19 16:32:51,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100232,10745.0,2023-01-19 18:29:21,Bluetooth Speaker,Electronics,4,45.0,180.0
INV100233,10259.0,2023-01-19 20:25:52,Sunglasses,Accessories,5,35.0,175.0
INV100234,10359.0,2023-01-19 22:22:22,Bluetooth Speaker,Electronics,2,45.0,90.0
INV100235,10710.0,2023-01-20 00:18:53,Denim Jacket,Apparel,2,74.99,149.98
INV100236,10456.0,2023-01-20 02:15:23,Denim Jacket,Apparel,1,74.99,74.99
INV100237,10411.0,2023-01-20 04:11:53,Denim Jacket,Apparel,3,74.99,224.96999999999997
INV100238,10649.0,2023-01-20 06:08:24,Wireless Earbuds,Electronics,5,59.99,299.95
INV100239,10318.0,2023-01-20 08:04:54,Stainless Steel Bottle,Fitness,3,19.99,59.97
INV100240,10677.0,2023-01-20 10:01:24,Wireless Earbuds,Electronics,2,59.99,119.98
INV100241,10225.0,2023-01-20 11:57:55,Running Shoes,Footwear,2,89.99,179.98
INV100242,10819.0,2023-01-20 13:54:25,Backpack,Accessories,3,49.99,149.97
INV100243,10234.0,2023-01-20 15:50:55,Backpack,Accessories,2,49.99,99.98
INV100244,10684.0,2023-01-20 17:47:26,Denim Jacket,Apparel,3,74.99,224.96999999999997
INV100245,10664.0,2023-01-20 19:43:56,Running Shoes,Footwear,2,89.99,179.98
INV100246,10827.0,2023-01-20 21:40:26,Leather Wallet,Accessories,1,29.99,29.99
INV100247,10374.0,2023-01-20 23:36:57,Leather Wallet,Accessories,1,29.99,29.99
INV100248,10672.0,2023-01-21 01:33:27,Denim Jacket,Apparel,1,74.99,74.99
INV100249,10608.0,2023-01-21 03:29:57,Sunglasses,Accessories,1,35.0,35.0
INV100250,10472.0,2023-01-21 05:26:28,Wireless Earbuds,Electronics,1,59.99,59.99
INV100251,10233.0,2023-01-21 07:22:58,Denim Jacket,Apparel,2,74.99,149.98
INV100252,10692.0,2023-01-21 09:19:29,Yoga Mat,Fitness,1,24.99,24.99
INV100253,10113.0,2023-01-21 11:15:59,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100254,10830.0,2023-01-21 13:12:29,Backpack,Accessories,2,49.99,99.98
INV100255,10497.0,2023-01-21 15:09:00,Leather Wallet,Accessories,5,29.99,149.95
INV100256,10442.0,2023-01-21 17:05:30,Smart Watch,Electronics,2,129.99,259.98
INV100257,10564.0,2023-01-21 19:02:00,Leather Wallet,Accessories,10,29.99,299.9
INV100258,10268.0,2023-01-21 20:58:31,Backpack,Accessories,2,49.99,99.98
INV100259,10510.0,2023-01-21 22:55:01,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100260,10807.0,2023-01-22 00:51:31,Backpack,Accessories,2,49.99,99.98
INV100261,10386.0,2023-01-22 02:48:02,Smart Watch,Electronics,2,129.99,259.98
INV100262,10387.0,2023-01-22 04:44:32,Denim Jacket,Apparel,1,74.99,74.99
INV100263,10113.0,2023-01-22 06:41:02,Running Shoes,Footwear,1,89.99,89.99
INV100264,10613.0,2023-01-22 08:37:33,Smart Watch,Electronics,2,129.99,259.98
INV100265,10625.0,2023-01-22 10:34:03,Backpack,Accessories,1,49.99,49.99
INV100266,10081.0,2023-01-22 12:30:34,Backpack,Accessories,2,49.99,99.98
INV100267,10699.0,2023-01-22 14:27:04,Yoga Mat,Fitness,1,24.99,24.99
INV100268,10113.0,2023-01-22 16:23:34,Yoga Mat,Fitness,2,24.99,49.98
INV100269,10002.0,2023-01-22 18:20:05,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100270,10642.0,2023-01-22 20:16:35,Yoga Mat,Fitness,1,24.99,24.99
INV100271,10220.0,2023-01-22 22:13:05,Wireless Earbuds,Electronics,1,59.99,59.99
INV100272,10566.0,2023-01-23 00:09:36,Running Shoes,Footwear,2,89.99,179.98
INV100273,10855.0,2023-01-23 02:06:06,Bluetooth Speaker,Electronics,3,45.0,135.0
INV100274,10736.0,2023-01-23 04:02:36,Smart Watch,Electronics,4,129.99,519.96
INV100275,10225.0,2023-01-23 05:59:07,Backpack,Accessories,1,49.99,49.99
INV100276,10385.0,2023-01-23 07:55:37,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100277,10403.0,2023-01-23 09:52:07,Stainless Steel Bottle,Fitness,1,19.99,19.99
INV100278,10638.0,2023-01-23 11:48:38,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100279,10130.0,2023-01-23 13:45:08,Running Shoes,Footwear,1,89.99,89.99
INV100280,10053.0,2023-01-23 15:41:38,Smart Watch,Electronics,2,129.99,259.98
INV100281,10684.0,2023-01-23 17:38:09,Leather Wallet,Accessories,1,29.99,29.99
INV100282,10730.0,2023-01-23 19:34:39,Yoga Mat,Fitness,1,24.99,24.99
INV100283,10672.0,2023-01-23 21:31:10,Denim Jacket,Apparel,2,74.99,149.98
INV100284,10710.0,2023-01-23 23:27:40,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100285,10416.0,2023-01-24 01:24:10,Yoga Mat,Fitness,1,24.99,24.99
INV100286,10247.0,2023-01-24 03:20:41,Yoga Mat,Fitness,1,24.99,24.99
INV100287,10836.0,2023-01-24 05:17:11,Wireless Earbuds,Electronics,1,59.99,59.99
INV100288,10439.0,2023-01-24 07:13:41,Running Shoes,Footwear,1,89.99,89.99
INV100289,10203.0,2023-01-24 09:10:12,Denim Jacket,Apparel,2,74.99,149.98
INV100290,10184.0,2023-01-24 11:06:42,Leather Wallet,Accessories,1,29.99,29.99
INV100291,10123.0,2023-01-24 13:03:12,Backpack,Accessories,2,49.99,99.98
INV100292,10401.0,2023-01-24 14:59:43,Wireless Earbuds,Electronics,4,59.99,239.96
INV100293,10767.0,2023-01-24 16:56:13,Yoga Mat,Fitness,1,24.99,24.99
INV100294,10294.0,2023-01-24 18:52:43,Yoga Mat,Fitness,5,24.99,124.94999999999999
INV100295,10280.0,2023-01-24 20:49:14,Sunglasses,Accessories,1,35.0,35.0
INV100296,10837.0,2023-01-24 22:45:44,Denim Jacket,Apparel,1,74.99,74.99
INV100297,10884.0,2023-01-25 00:42:14,Denim Jacket,Apparel,1,74.99,74.99
